time,version,question,rewrite_latency_sec,strict_json_ok,num_queries,robust_queries,violations,retrieval_latency_sec,relevance_proxy,explain_latency_sec,hallucination_proxy_rate,hallucination_ooc_examples
2026-01-07T04:12:42,A,味全龍 新洋投 近況,1.802,False,3,味全龍|新洋投|近況,too_short_keyword,0.002,0.0,11.952,0.833,味全龍為了補強先發輪值|已積極鎖定|這個實績強投|據報導|味全龍與|達成共識|將會讓他效力日職兩年的時程|此外
2026-01-07T04:12:56,A,味全龍 新洋投 近況,1.766,False,3,味全龍|新洋投|近況,too_short_keyword,0.003,0.0,12.169,0.778,根據文章|味全龍在強化先發輪值方面積極調整戰力版圖|並鎖定有經驗的投手|作為補強|此外|味全龍也表示將於明年舉辦軟銀鷹聯名主題日|說明他們對於強化選手和營運的重視
2026-01-07T04:13:08,A,湖人 近期 傷兵 名單,1.742,False,1,湖人 近期 傷兵,,0.002,0.4,10.21,0.833,湖人近期的傷兵情況不容乐观|目前詹姆斯等主要球员都面临缺阵|里夫斯最近在比賽中表現亮眼|在對沙加緬度國王比賽中發揮出色|取得生涯最高得分
2026-01-07T04:13:18,A,湖人 近期 傷兵 名單,3.201,False,3,湖人 近期 傷兵|湖人 近期 傷兵名單|湖人 injury roster,,0.002,0.6,6.23,1.0,湖人近期的傷兵情況不容樂觀|目前有|位主力缺陣
2026-01-07T04:13:28,A,湖人 近期 傷兵 名單,1.754,False,1,湖人 近期 傷兵,,0.001,0.4,8.516,1.0,湖人近期的傷兵問題相當嚴重|多位主力缺陣|詹姆斯目前在傷勢尚未完全恢復|以及里夫斯等新星也表現亮眼|為湖人帶來新的希望
2026-01-07T04:13:41,A,勇士 最近 交易 傳聞,1.95,False,3,勇士交易|勇士傳聞|勇士最新交易,too_short_keyword,0.003,0.8,10.637,0.875,勇士近期傳聞不斷|由於交易截止日近|外界關注勇士是否會進行交易|根據文章|勇士目前戰績起伏不定|雖然官方沒有宣布任何交易|但外界預測勇士可能會在交易截止日做出重大交易
2026-01-07T04:13:52,A,勇士 最近 交易 傳聞,1.849,False,3,勇士交易|勇士最新消息|勇士傳聞,too_short_keyword,0.003,0.8,9.999,0.833,勇士目前戰績起伏不定|外界關注他們是否會拆解核心陣容|根據|勇士沒有打算拆解核心陣容|因為交易截止日將至
2026-01-07T04:14:07,A,勇士 最近 交易 傳聞,2.003,False,3,勇士交易傳聞|勇士最近交易|勇士交易新聞,,0.002,1.0,12.854,0.571,勇士目前戰績起伏不定|在交易截止日逼近時外界關注勇士是否會進行核心陣容的交易|道奇交易了|給馬林魚|並獲得|這可能暗示勇士的交易可能性|雖然官方尚未公布任何交易|但傳言流傳
2026-01-07T04:14:16,A,戴資穎 最近比賽結果,1.926,False,3,戴資穎|比賽結果|最近成績,too_short_keyword,0.003,0.6,6.377,0.5,戴資穎目前在國際羽球界取得了許多成就|包括|周的世界球后以及
2026-01-07T04:14:25,A,戴資穎 最近比賽結果,1.777,False,3,戴資穎|比賽結果|最近賽事,too_short_keyword,0.003,0.6,7.532,1.0,戴資穎近期的比賽結果並沒有公開資訊|中提到山口茜奪下賽史第|暗示戴資穎在羽球比賽上的表現可能存在|但具體比賽結果的資訊並未公開
2026-01-07T04:14:33,A,戴資穎 最近比賽結果,1.78,False,3,戴資穎|比賽結果|最近成績,too_short_keyword,0.004,0.6,6.15,0.6,戴資穎最近在羽球賽場上表現出色|她已取得了許多勝利|並且創造了歷史最長的
2026-01-07T04:14:44,A,羽球 世大運 中華隊 表現,2.094,False,3,羽球世大運|中華隊表現|世大運中華隊,,0.002,1.0,9.052,0.875,中華隊在羽球混合團體賽中以|擊敗日本晉進|距離衛冕金牌僅差最後兩場|台灣羽球代表隊也取得了銀牌|雖然混合團體|但中華隊還是取得了不错的成績|證明了他們在國際賽場上的表現
2026-01-07T04:14:58,A,羽球 世大運 中華隊 表現,2.149,False,3,羽球世大運|中華隊表現|世大運中華隊,,0.001,1.0,11.806,0.9,中華隊在羽球混合團體賽中|靠著王珮伃的表現成功擊敗日本晉級最後四強|丁彥宸在男單賽中以|連勝表現出色|雖然中華女排在分組預賽中輸給義大利隊|但仍有機會爭取晉級資格|中華隊在混合團體賽中沒有完成|連霸目標
2026-01-07T04:15:09,A,羽球 世大運 中華隊 表現,1.653,False,3,羽球|世大運|中華隊,too_short_keyword,0.002,0.8,9.315,0.364,中華隊在世大運羽球混合團體賽中以|擊敗日本|順利晋升到|此外
2026-01-07T04:15:23,A,羽球混雙 中華隊 近期 戰績,2.086,False,3,羽球混雙|中華隊近期戰績|羽球成績,too_short_keyword,0.002,0.6,12.304,0.438,中華隊在世大運羽球混雙比賽中順利晉級至最終四強|並將在明天挑戰衛冕金牌|年德國世界大學運動會|此外|台中也舉辦了生麗羽你同行國小暨親子分齡賽暨生麗盃羽球雙打友誼公開賽|人參與|中華隊在世大運中擊劍鈍劍男團的比賽中取得第七名
2026-01-07T04:15:33,A,羽球混雙 中華隊 近期 戰績,2.269,False,3,羽球混雙|中華隊近期戰績|近期成績中華隊混雙,too_short_keyword,0.002,0.8,7.1,1.0,中華隊在世大運羽球混雙賽中|靠著王珮伃的表現成功晉級到四強|並將會挑戰最終四強
2026-01-07T04:15:43,A,羽球混雙 中華隊 近期 戰績,2.279,False,3,羽球混雙|中華隊近期戰績|近期成績中華隊混雙,too_short_keyword,0.002,0.8,8.068,0.667,中華隊在世大運羽球混雙賽中|靠著王珮伃的優勢勝出日本隊晉級到四強|他們距離衛冕金牌就差最後兩場比賽|年德國世界大學運動會將採用
2026-01-07T04:15:51,A,最近台灣體育圈最大條的新聞是什麼？,1.968,False,3,台灣體育圈|最新體育新聞|台灣體育新聞最大條,,0.006,0.0,6.46,0.5,台灣體育圈最近的最大新聞是世大運男籃預賽比賽中|台灣隊慘敗芬蘭落入
2026-01-07T04:16:03,A,最近台灣體育圈最大條的新聞是什麼？,1.84,False,3,台灣體育新聞|台灣體育圈|最新體育新聞,,0.001,0.0,10.033,0.615,最近台灣體育圈的最大新聞是世大運男籃預賽敗給芬蘭|另外|台灣羽球混合團體在世大運中也遭遇了不順的狀況|未取得金牌|此外|方面|古林睿煬在日職比賽中完封勝|再次證明了台灣投手在國際上的實力
2026-01-07T04:16:12,A,最近台灣體育圈最大條的新聞是什麼？,1.806,False,3,台灣體育新聞|台灣體育圈|最新體育新聞,,0.001,0.0,6.479,0.25,台灣體育圈最近最大新聞是台灣男籃在世大運預賽中敗給芬蘭
2026-01-07T04:16:17,A,今天體育新聞有什麼值得看？,1.584,False,3,体育新闻|体育赛事|体育,too_short_keyword,0.001,0.0,3.914,1.0,請提供所提供的片段內容喔|我會盡力根據資訊|為您解惑並給出精彩的體育新聞摘要|please|provide|the|snippets|you
2026-01-07T04:16:29,A,今天體育新聞有什麼值得看？,1.645,False,3,体育新闻|最新体育|体育赛事,too_short_keyword,0.001,0.2,10.503,0.692,詹姆斯沒有宣布退休|他在最新的代言酒類廣告中宣傳新產品|洋基有意簽回貝林傑|他正在自由市場爭取新的球隊|溫班亞瑪確定缺席明天的比賽|因左膝受傷|此外|中信兄弟強化打擊策略
2026-01-07T04:16:41,A,今天體育新聞有什麼值得看？,1.909,False,3,体育新闻|体育赛事|最新体育,too_short_keyword,0.001,0.2,9.644,0.667,詹皇沒有宣布退休|只是新代言酒類宣傳影片而已|洋基球員貝林傑將會重新加入隊伍|而馬刺的溫班亞瑪將缺席明天賽事|另外|中信兄弟也積極強化團隊打擊策略
2026-01-07T04:16:51,A,運動員 罰款 爭議 相關新聞,1.874,False,3,athlete penalty news|sports scandal headlines|sports fines controversy,,0.003,0.0,7.946,0.8,根據提供的資訊|美國民眾對運動員的影響力越來越受關注|他們認為運動員應該用自己的力量推動社會變革|同時|被判犯有謀殺罪|許多運動員都表示支持|這顯示近年來觀看女性運動賽事的興趣度越來越高|但投資者似乎還沒跟上
2026-01-07T04:17:03,A,運動員 罰款 爭議 相關新聞,1.887,False,3,athlete penalty news|sports scandal headlines|player fines controversy,,0.001,0.0,10.225,0.846,根據提供的資訊|運動員罰款爭議新聞內容主要討論的是年輕籃球隊的休賽及停賽|其中一則新聞報道指出|運動員因打鬥和|的反亞裔歧視言語而被禁賽|另外|一位作者分享了關於|獎項的選出內容
2026-01-07T04:17:11,A,運動員 罰款 爭議 相關新聞,1.655,False,3,athlete penalty news|sports controversy|sports fines,,0.003,0.0,7.118,1.0,根據提供的資訊|這段新聞內容主要是關於運動員的社會運動問題和相關討論|顯示出美國一半的人支持運動員使用他們的影響力來進行社會改變|則介紹了女性體育比賽越來越受到觀眾歡迎的現象|並探討投資者是否會跟上這個趨勢
2026-01-07T04:17:27,B,中華隊棒球集訓名單有哪些人？,3.69,False,3,中華隊棒球集訓|中華隊棒球名單|棒球集訓名單,,0.004,1.0,11.478,0.8,這篇報導提到中華隊|旅日組幾乎都到位了|其中古林睿煬和徐若熙可望參加集訓|這篇報導提到|經典賽將在今年春天再次登場|中華隊球員名單及消息一覽會持續更新|這篇報導提到中華隊在世大運羽球混合團體賽中進出|並取得第
2026-01-07T04:17:42,B,中華隊棒球集訓名單有哪些人？,3.466,False,3,中華隊棒球集訓|中華隊棒球名單|棒球集訓名單,,0.002,1.0,11.417,0.8,這篇報導提到中華隊|旅日組幾乎都到位了|其中古林睿煬和徐若熙可望參加集訓|這篇報導提到|經典賽將在今年春天再次登場|中華隊球員名單及消息一覽會持續更新|這篇報導提到中華隊在世大運羽球混合團體賽中進出|並取得第
2026-01-07T04:17:56,B,中華隊棒球集訓名單有哪些人？,3.142,False,2,中華隊棒球集訓|中華隊棒球名單,,0.002,1.0,11.443,0.8,這篇報導提到中華隊|旅日組幾乎都到位了|其中古林睿煬和徐若熙可望參加集訓|這篇報導提到|經典賽將在今年春天再次登場|中華隊球員名單及消息一覽會持續更新|這篇報導提到中華隊在世大運羽球混合團體賽中進出|並取得第
2026-01-07T04:18:11,B,中華隊棒球投手群近況（傷兵、調整狀況）,3.39,False,3,中華隊棒球投手近況|中華隊投手調整狀況|棒球投手戰績,,0.003,0.0,11.696,0.786,提供的資訊顯示|中華隊投手群近況的相關資訊主要集中在|的準備和調整狀況|像是古林睿煬|徐若熙等選手是否會參加集訓|以及中華隊的旅日組成員|提供了關於|經典賽的資訊
2026-01-07T04:18:27,B,中華隊棒球投手群近況（傷兵、調整狀況）,3.417,False,3,中華隊棒球投手近況|中華隊投手調整狀況|棒球投手戰績,,0.002,0.0,11.903,0.786,提供的資訊顯示|中華隊投手群近況的相關資訊主要集中在|的準備和調整狀況|像是古林睿煬|徐若熙等選手是否會參加集訓|以及中華隊的旅日組成員|提供了關於|經典賽的資訊
2026-01-07T04:18:42,B,中華隊棒球投手群近況（傷兵、調整狀況）,3.528,False,3,中華隊棒球投手近況|中華隊投手調整狀況|棒球投手戰績,,0.004,0.0,11.853,0.786,提供的資訊顯示|中華隊投手群近況的相關資訊主要集中在|的準備和調整狀況|像是古林睿煬|徐若熙等選手是否會參加集訓|以及中華隊的旅日組成員|提供了關於|經典賽的資訊
2026-01-07T04:18:56,B,富邦悍將 最近有什麼新聞（交易/傷兵/戰績）,3.547,False,3,富邦悍將最新新聞|富邦悍將交易|富邦悍將傷兵戰績,,0.002,0.0,10.42,1.0,根據提供的搜尋結果資訊|富邦悍將近期有關於交易|傷兵和戰績的新聞報導
2026-01-07T04:19:10,B,富邦悍將 最近有什麼新聞（交易/傷兵/戰績）,3.664,False,3,富邦悍將新聞|富邦悍將最新戰績|富邦悍將傷兵交易,,0.002,0.0,10.719,1.0,根據提供的搜尋結果資訊|富邦悍將近期有關於交易|傷兵和戰績的新聞報導
2026-01-07T04:19:25,B,富邦悍將 最近有什麼新聞（交易/傷兵/戰績）,3.565,False,3,富邦悍將新聞|富邦悍將最新戰績|富邦悍將傷兵交易,,0.001,0.0,10.677,1.0,根據提供的搜尋結果資訊|富邦悍將近期有關於交易|傷兵和戰績的新聞報導
2026-01-07T04:19:41,B,味全龍 新洋投 近況,3.062,False,2,味全龍 新洋投|近況 中華隊 棒球,,0.002,0.0,13.645,0.643,這篇報導內容討論了中華隊在|的狀況|並且提到中華隊將會在中國信託金融園區舉辦直播活動|這篇報導內容討論了味全龍的蔣幹加盟|以及他與味全龍的合作情況|這篇報導內容討論了中華隊在世大運羽球混合團體賽中取得進步|並提到王珮伃在比賽中表現出色|的旅日組成員
2026-01-07T04:19:58,B,味全龍 新洋投 近況,3.089,False,2,味全龍 新洋投|近況 中華隊 棒球,,0.001,0.0,13.891,0.643,這篇報導內容討論了中華隊在|的狀況|並且提到中華隊將會在中國信託金融園區舉辦直播活動|這篇報導內容討論了味全龍的蔣幹加盟|以及他與味全龍的合作情況|這篇報導內容討論了中華隊在世大運羽球混合團體賽中取得進步|並提到王珮伃在比賽中表現出色|的旅日組成員
2026-01-07T04:20:16,B,味全龍 新洋投 近況,3.964,False,3,味全龍 新洋投 近況|中華隊 新洋投 最新|味全龍 新洋投 賽季,,0.003,0.0,13.36,0.556,根據提供的搜尋結果摘要|皆與使用者問題|為味全龍的新聞報導|內容提及味全龍在調整戰力版圖|並鎖定先發輪值的深度|則為味全龍與|達共識的報導|內容提及
2026-01-07T04:20:29,B,湖人 近期 傷兵 名單,3.772,False,3,湖人近期的傷兵名單|湖人最新傷兵名單|湖人戰績傷兵名單,,0.004,0.6,9.376,1.0,摘要顯示湖人近期的傷兵情況|並指出他們在比賽中表現不佳|此資訊不足以回答使用者問題|此資訊顯示湖人近期出現傷兵|並且詳細說明了這些傷兵的狀況
2026-01-07T04:20:43,B,湖人 近期 傷兵 名單,3.755,False,3,湖人近期的傷兵名單|湖人最新傷兵名單|湖人賽事傷兵名單,,0.002,0.6,10.118,1.0,這則新聞報導中提到湖人近期傷兵缺陣|並且提及詹姆斯無法上場|這則新聞報導中顯示湖人近期的比賽結果|並列出對手和得分|這則新聞報導中提到湖人防守表現糟糕|並指出詹姆斯無法上場
2026-01-07T04:20:56,B,湖人 近期 傷兵 名單,3.974,False,3,湖人近期的傷兵名單|湖人最新傷兵名單|湖人戰績傷兵名單,,0.003,0.6,9.58,1.0,摘要顯示湖人近期的傷兵情況|並指出他們在比賽中表現不佳|此資訊不足以回答使用者問題|此資訊顯示湖人近期出現傷兵|並且詳細說明了這些傷兵的狀況
2026-01-07T04:21:12,B,勇士 最近 交易 傳聞,3.082,False,3,勇士交易傳聞|勇士最新交易|勇士戰績交易,,0.003,1.0,12.914,1.0,根據提供的搜尋結果資訊|勇士近期傳聞交易|皆提及勇士的交易狀況|顯示勇士目前戰績起伏不定|則提到道奇交易|則提到馬林魚投手換道奇|則提到遊騎兵在交易大限時進行交易|都提及勇士的交易傳聞
2026-01-07T04:21:28,B,勇士 最近 交易 傳聞,3.126,False,3,勇士交易傳聞|勇士最新交易|勇士戰績交易,,0.003,1.0,13.055,1.0,根據提供的搜尋結果資訊|勇士近期傳聞交易|皆提及勇士的交易狀況|顯示勇士目前戰績起伏不定|則提到道奇交易|則提到馬林魚投手換道奇|則提到遊騎兵在交易大限時進行交易|都提及勇士的交易傳聞
2026-01-07T04:21:44,B,勇士 最近 交易 傳聞,3.027,False,3,勇士交易傳聞|勇士最新交易|勇士交易新聞,,0.002,1.0,12.957,1.0,根據提供的搜尋結果資訊|勇士近期傳聞交易|皆提及勇士的交易狀況|顯示勇士目前戰績起伏不定|則提到道奇交易|則提到馬林魚投手換道奇|則提到遊騎兵在交易大限時進行交易|都提及勇士的交易傳聞
2026-01-07T04:21:59,B,戴資穎 最近比賽結果,3.518,False,3,戴資穎 最新賽績|戴資穎 新聞|戴資穎 傷兵戰績,,0.003,0.8,11.338,0.7,摘要資訊顯示戴資穎在高雄巨蛋球場表演賽|並獲得球迷的讚賞|摘要資訊顯示戴資穎宣布退休|並且在東京奧運惜敗陳雨菲鍍銀|這兩件事都與使用者問題有關|摘要資訊顯示戴資穎在棒球新聞盃賽事中表演賽|但沒有提到比賽結果
2026-01-07T04:22:14,B,戴資穎 最近比賽結果,3.62,False,3,戴資穎 最新戰績|戴資穎 新聞|中華隊 戴資穎 賽程,,0.002,0.4,11.319,0.9,摘要顯示戴資穎在世大運羽球混合團體賽中取得進步|並順利晉級到四強|因此相關資訊可以回答使用者問題|摘要提到|經典賽將會再次登場|中華隊準備集結最強戰力|摘要提到戴資穎在東奧惜敗獲得銀牌
2026-01-07T04:22:25,B,戴資穎 最近比賽結果,3.44,False,3,戴資穎 最新賽績|戴資穎 新聞|中華隊 戴資穎 戰績,,0.004,0.4,7.853,1.0,這篇報導中提到戴資穎的歷代戰拍迷你收藏組|說明了戴資穎在比賽中的表現|摘要資訊不足|缺少戴資穎最近比賽結果
2026-01-07T04:22:38,B,羽球 世大運 中華隊 表現,3.699,False,3,羽球世大運中華隊表現|中華隊羽球世大運|世大運中華隊成績,,0.002,1.0,9.347,1.0,根據提供的搜尋結果摘要|皆為有關中華隊在世大運羽球混雙賽事的資訊|顯示出中華隊在世大運羽球混雙賽中表現出色|並取得了金銀銅獎牌
2026-01-07T04:22:52,B,羽球 世大運 中華隊 表現,3.742,False,3,羽球世大運中華隊表現|中華隊羽球世大運|世大運中華隊成績,,0.002,1.0,9.887,1.0,根據提供的搜尋結果摘要|皆為有關中華隊在世大運羽球混雙賽事的資訊|顯示出中華隊在世大運羽球混雙賽中表現出色|並取得了金銀銅獎牌
2026-01-07T04:23:07,B,羽球 世大運 中華隊 表現,3.76,False,3,中華隊羽球世大運表現|羽球世大運中華隊|世大運中華隊成績,,0.003,1.0,10.726,1.0,摘要資訊顯示|中華隊在世大運羽球混雙賽中取得勝利|並晉級到金牌戰|中華隊在世大運羽球男單賽中取得勝利
2026-01-07T04:23:22,B,羽球混雙 中華隊 近期 戰績,3.882,False,3,中華隊羽球混雙近況|羽球混雙戰績近|近期的中華隊羽球混雙戰績,,0.003,1.0,11.761,0.385,這篇報導中提到中華隊在世大運羽球混雙比賽中|這篇報導提到中華隊在世大運羽球混雙比賽中獲得|銅的佳績|摘要資訊不足|缺少關於中華隊近期的戰績
2026-01-07T04:23:38,B,羽球混雙 中華隊 近期 戰績,3.873,False,3,中華隊羽球混雙近況|羽球混雙戰績最新|中華隊近期的戰績,,0.003,1.0,11.674,0.385,這篇報導中提到中華隊在世大運羽球混雙比賽中|這篇報導提到中華隊在世大運羽球混雙比賽中獲得|銅的佳績|摘要資訊不足|缺少關於中華隊近期的戰績
2026-01-07T04:23:53,B,羽球混雙 中華隊 近期 戰績,3.606,False,3,中華隊羽球混雙近況|羽球混雙戰績最新|中華隊近期的戰績,,0.002,1.0,11.718,0.385,這篇報導中提到中華隊在世大運羽球混雙比賽中|這篇報導提到中華隊在世大運羽球混雙比賽中獲得|銅的佳績|摘要資訊不足|缺少關於中華隊近期的戰績
2026-01-07T04:24:10,B,最近台灣體育圈最大條的新聞是什麼？,3.251,False,3,台灣體育新聞最新|台灣棒球新聞|台灣賽事新聞,,0.003,0.2,13.777,0.375,這則新聞報導中提到兄弟象在新聞盃賽事中|這與使用者問題|這則新聞報導中提到台灣棒球育才協會主辦|這則新聞報導中提到中信盃黑豹旗|以及近
2026-01-07T04:24:27,B,最近台灣體育圈最大條的新聞是什麼？,3.163,False,3,台灣體育新聞最新|台灣棒球新聞|台灣賽事新聞,,0.002,0.2,13.811,0.375,這則新聞報導中提到兄弟象在新聞盃賽事中|這與使用者問題|這則新聞報導中提到台灣棒球育才協會主辦|這則新聞報導中提到中信盃黑豹旗|以及近
2026-01-07T04:24:44,B,最近台灣體育圈最大條的新聞是什麼？,3.52,False,3,台灣體育新聞|台灣體育圈最新|台灣棒球新聞,,0.001,0.2,13.679,0.375,這則新聞報導中提到兄弟象在新聞盃賽事中|這與使用者問題|這則新聞報導中提到台灣棒球育才協會主辦|這則新聞報導中提到中信盃黑豹旗|以及近
2026-01-07T04:25:00,B,今天體育新聞有什麼值得看？,3.073,False,3,體育新聞最新|中華隊新聞|棒球新聞值得看,,0.002,0.6,12.444,0.923,根據提供的搜尋結果|皆與使用者問題|為棒球新聞|為棒球經典賽的消息|為世大運的羽球比賽|這些資訊都包含了體育新聞內容|的資訊則涉及到世大運的羽球比賽|但並非直接回答使用者問題
2026-01-07T04:25:15,B,今天體育新聞有什麼值得看？,3.025,False,3,中華隊新聞|最新棒球新聞|體育新聞重點,,0.002,0.6,11.694,0.636,這則新聞報導中提到兄弟象養父鐵登板|與使用者問題|這則新聞報導中提到世大運羽球混合團體賽|並提及王珮伃的成績|這則新聞報導中提到世大運擊劍鈍劍男團中華
2026-01-07T04:25:29,B,今天體育新聞有什麼值得看？,3.114,False,3,體育新聞最新|棒球新聞|中華隊新聞戰績,too_short_keyword,0.002,0.6,11.212,0.667,這則新聞報導中提到兄弟象養父鐵登板|與使用者問題|這則新聞報導中提到中華隊在世大運羽球混合團體賽中取得進步|這則新聞報導中提到中華隊準備集結最強戰力
2026-01-07T04:25:44,B,運動員 罰款 爭議 相關新聞,3.509,False,3,運動員罰款爭議新聞|棒球罰款新聞|選手罰款新聞,,0.004,0.2,11.553,0.75,這則新聞報導中提到|的新聞盃賽事|並提及林恩宇是|因此與使用者問題相關|這則新聞報導提到洛夫頓離境未繳納五萬罰款|並討論追款問題|與使用者問題相關|這則新聞報導提到職籃工會大動作
2026-01-07T04:25:59,B,運動員 罰款 爭議 相關新聞,3.339,False,3,運動員罰款爭議新聞|棒球罰款新聞|選手罰款新聞,,0.002,0.2,11.68,0.75,這則新聞報導中提到|的新聞盃賽事|並提及林恩宇是|因此與使用者問題相關|這則新聞報導提到洛夫頓離境未繳納五萬罰款|並討論追款問題|與使用者問題相關|這則新聞報導提到職籃工會大動作
2026-01-07T04:26:14,B,運動員 罰款 爭議 相關新聞,3.49,False,3,運動員罰款爭議新聞|棒球罰款新聞|選手罰款新聞,,0.003,0.2,11.773,0.75,這則新聞報導中提到|的新聞盃賽事|並提及林恩宇是|因此與使用者問題相關|這則新聞報導提到洛夫頓離境未繳納五萬罰款|並討論追款問題|與使用者問題相關|這則新聞報導提到職籃工會大動作
